id,wave,track,part,section,subsubject,domain,topic,item_archetype,cognitive_demand,difficulty,access,language,stimulus_id,stem,choice_A,choice_B,choice_C,choice_D,choice_E,correct_choice,rationale,solution_steps,high_yield_takeaway,estimated_time_seconds,calculator_policy,diagram_required,originality_check,accuracy_review,status
DOST-W2-168,2,Undergraduate,Part II — Power Test,Science,Biology,BIO2 — Biomolecules and Metabolism,photosynthesis,SCI-APP,Recognition/Recall,Moderate,Premium,English,,Which event occurs during the light-dependent reactions of photosynthesis?,Carbon dioxide is directly converted into glucose without energy input.,Glucose is broken down to pyruvate.,Nitrogen gas is fixed in every leaf cell.,Light energy drives production of ATP and NADPH.,,D,The light reactions capture energy to produce ATP and NADPH for carbon fixation.,,Separate light-dependent energy capture from the Calvin cycle.,105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-169,2,Undergraduate,Part II — Power Test,Science,Biology,BIO2 — Biomolecules and Metabolism,respiration,SCI-APP,Recognition/Recall,Moderate,Premium,English,,Which stage of cellular respiration produces the most ATP in aerobic cells?,Oxidative phosphorylation,Glycolysis,Fermentation,Pyruvate formation only,,A,The electron transport chain and chemiosmosis generate most ATP.,,Most aerobic ATP comes from oxidative phosphorylation.,105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-170,2,Undergraduate,Part II — Power Test,Science,Biology,BIO2 — Biomolecules and Metabolism,lipids,SCI-APP,Analysis/Evaluation,Moderate,Premium,English,,Why are triglycerides effective long-term energy stores?,They dissolve freely in blood without transport.,They contain many energy-rich carbon-hydrogen bonds.,They are made only of amino acids.,They cannot be metabolized.,,B,Reduced carbon-hydrogen bonds release substantial energy when oxidized.,,Lipids store more energy per gram than carbohydrates.,105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-171,2,Undergraduate,Part II — Power Test,Science,Biology,BIO2 — Biomolecules and Metabolism,protein denaturation,SCI-APP,Single-step Application,Moderate,Premium,English,,A protein loses its three-dimensional shape after exposure to high temperature. What is the most likely consequence?,Its amino-acid sequence always doubles.,It becomes DNA.,Its function may be reduced or lost.,It gains unlimited catalytic activity.,,C,"Protein function depends on shape, especially at binding or active sites.",,Denaturation alters structure and often function.,80,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-172,2,Undergraduate,Part II — Power Test,Science,Biology,BIO2 — Biomolecules and Metabolism,ATP,SCI-APP,Analysis/Evaluation,Difficult,Premium,English,,Why is ATP described as an immediate energy carrier rather than a long-term energy store?,It cannot participate in reactions.,It contains no chemical bonds.,It is stored only in bones.,It can rapidly transfer energy through phosphate-group reactions.,,D,ATP is continuously regenerated and quickly couples energy-releasing and energy-requiring processes.,,ATP is used and regenerated rapidly in cells.,135,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-173,2,Undergraduate,Part II — Power Test,Science,Biology,BIO3 — Genetics and Molecular Biology,DNA replication,SCI-APP,Recognition/Recall,Moderate,Free,English,,Why is DNA replication described as semiconservative?,Each new DNA molecule contains one original strand and one newly synthesized strand.,Half of the genes are deleted.,Only one chromosome replicates.,The cell conserves half its ATP.,,A,Each daughter double helix retains one parental strand paired with one new strand.,,Semiconservative replication preserves one old strand in each copy.,105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-174,2,Undergraduate,Part II — Power Test,Science,Biology,BIO3 — Genetics and Molecular Biology,protein synthesis,SCI-APP,Recognition/Recall,Easy,Premium,English,,What is the role of transfer RNA during translation?,It stores all chromosomes.,It carries amino acids and matches anticodons with mRNA codons.,It copies DNA in the nucleus.,It breaks down lipids.,,B,tRNA brings specific amino acids and pairs its anticodon with an mRNA codon.,,tRNA links codon information to amino-acid sequence.,80,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-175,2,Undergraduate,Part II — Power Test,Science,Biology,BIO3 — Genetics and Molecular Biology,codominance,SCI-APP,Recognition/Recall,Easy,Premium,English,,A person with blood type AB expresses both A and B antigens. This is an example of:,complete dominance,recessive lethality,codominance,polyploidy,,C,Both alleles are fully expressed in the heterozygote.,,Codominant alleles are both detectably expressed.,80,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-176,2,Undergraduate,Part II — Power Test,Science,Biology,BIO3 — Genetics and Molecular Biology,sex-linked inheritance,SCI-APP,Analysis/Evaluation,Moderate,Premium,English,,A recessive X-linked trait is more common in males because males:,have no chromosomes,inherit two X chromosomes from the father,cannot carry recessive alleles,have only one X chromosome,,D,A male's single X-linked recessive allele is expressed because there is no second X allele to mask it.,,Hemizygosity exposes recessive X-linked alleles in males.,105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-177,2,Undergraduate,Part II — Power Test,Science,Biology,BIO3 — Genetics and Molecular Biology,dihybrid probability,SCI-APP,Multi-step Application,Moderate,Premium,English,,Two genes assort independently. An AaBb individual produces which gamete with probability 1/4?,"AB, Ab, aB, or ab each with probability 1/4",AB only,Aa,Bb,,A,Independent segregation gives four equally likely allele combinations.,,"For AaBb, multiply 1/2 probabilities for each allele choice.",105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-178,2,Undergraduate,Part II — Power Test,Science,Biology,BIO3 — Genetics and Molecular Biology,gene expression,SCI-APP,Analysis/Evaluation,Moderate,Premium,English,,Two cells contain the same DNA but produce different proteins. What best explains this?,One cell has no ribosomes.,Different genes are active in the two cells.,DNA sequence never affects protein production.,Proteins determine all DNA sequence changes.,,B,Cell specialization depends largely on differential gene expression.,,Cells with the same genome can express different gene sets.,105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-179,2,Undergraduate,Part II — Power Test,Science,Biology,BIO3 — Genetics and Molecular Biology,mutation,SCI-APP,Recognition/Recall,Moderate,Premium,English,,A frameshift mutation is most likely caused by:,replacement of one amino acid with an identical one,chromosome replication without error,insertion or deletion of nucleotides not in multiples of three,normal crossing over,,C,Such insertions or deletions shift the codon-reading frame downstream.,,Frameshifts alter how codons are grouped.,135,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-180,2,Undergraduate,Part II — Power Test,Science,Biology,BIO3 — Genetics and Molecular Biology,pedigree,SCI-APP,Analysis/Evaluation,Difficult,Premium,English,,An affected father passes a trait to all daughters but no sons. Which pattern is most consistent?,Y-linked,autosomal recessive only,mitochondrial inheritance,X-linked dominant,,D,An affected father gives his X chromosome to every daughter and his Y chromosome to every son.,,Trace which sex chromosome each parent transmits.,135,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-181,2,Undergraduate,Part II — Power Test,Science,Biology,BIO4 — Evolution and Classification,natural selection,SCI-APP,Analysis/Evaluation,Moderate,Free,English,,A population of bacteria becomes resistant after repeated antibiotic exposure. Which process directly changes allele frequencies?,Resistant cells survive and reproduce more successfully.,Each bacterium chooses to mutate.,The antibiotic creates identical useful mutations in all cells.,Resistance is learned and inherited.,,A,Differential survival and reproduction increase the frequency of resistance alleles.,,Selection acts on heritable variation.,105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-182,2,Undergraduate,Part II — Power Test,Science,Biology,BIO4 — Evolution and Classification,speciation,SCI-APP,Analysis/Evaluation,Difficult,Premium,English,,Two populations of the same species become geographically isolated for many generations. What condition would provide strongest evidence that speciation occurred?,They live in different places temporarily.,They can no longer produce fertile offspring together.,They have different diets for one week.,One population is larger.,,B,Reproductive isolation is central evidence of biological speciation.,,Speciation involves persistent reproductive isolation.,135,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-183,2,Undergraduate,Part II — Power Test,Science,Biology,BIO4 — Evolution and Classification,analogous structures,SCI-APP,Recognition/Recall,Easy,Premium,English,,Bird wings and insect wings perform similar functions but evolved from different ancestral structures. They are:,homologous,vestigial,analogous,identical genes,,C,Similar function without shared structural origin indicates analogy.,,Analogous structures often result from convergent evolution.,80,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-184,2,Undergraduate,Part II — Power Test,Science,Biology,BIO4 — Evolution and Classification,phylogeny,SCI-APP,Analysis/Evaluation,Moderate,Premium,English,,"On a phylogenetic tree, two species sharing a more recent common ancestor are generally:",always identical in appearance,the same species,unrelated genetically,more closely related,,D,A more recent branching point indicates closer evolutionary relationship.,,"Relatedness is inferred from common ancestry, not superficial similarity alone.",105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-185,2,Undergraduate,Part II — Power Test,Science,Biology,BIO4 — Evolution and Classification,classification,SCI-APP,Recognition/Recall,Easy,Premium,English,,Which sequence moves from broader to more specific taxonomic rank?,kingdom → phylum → class → order,species → genus → family → order,class → kingdom → species → phylum,genus → kingdom → family → species,,A,"The standard hierarchy narrows from kingdom to phylum, class, order, family, genus, and species.",,Taxonomic ranks become increasingly specific.,80,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-186,2,Undergraduate,Part II — Power Test,Science,Biology,BIO4 — Evolution and Classification,genetic evidence,SCI-APP,Analysis/Evaluation,Moderate,Premium,English,,Why are DNA sequence comparisons useful in reconstructing evolutionary relationships?,DNA is unaffected by inheritance.,More similar sequences often indicate more recent common ancestry.,All organisms have identical DNA.,Sequence similarity proves identical habitats.,,B,Inherited molecular similarities can preserve evidence of shared ancestry.,,Molecular data complement anatomical and fossil evidence.,105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-187,2,Undergraduate,Part II — Power Test,Science,Biology,BIO5 — Ecology and Populations,carrying capacity,SCI-APP,Analysis/Evaluation,Moderate,Free,English,,"A population grows rapidly, then levels off around a stable size. The leveling most likely reflects:",absence of reproduction,unlimited food,carrying capacity and limiting resources,loss of all competition,,C,Resource limits and environmental resistance stabilize population size near carrying capacity.,,Logistic growth slows as limiting factors intensify.,105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-188,2,Undergraduate,Part II — Power Test,Science,Biology,BIO5 — Ecology and Populations,succession,SCI-APP,Recognition/Recall,Easy,Premium,English,,"After a volcanic eruption creates bare rock with no soil, the first long-term community development is:",secondary succession,artificial selection,biomagnification,primary succession,,D,Primary succession begins where soil is absent.,,Primary succession starts on newly exposed surfaces.,80,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-189,2,Undergraduate,Part II — Power Test,Science,Biology,BIO5 — Ecology and Populations,biomagnification,SCI-APP,Analysis/Evaluation,Moderate,Premium,English,,Why can top predators accumulate high concentrations of a persistent toxin?,The toxin becomes more concentrated at higher trophic levels.,Predators create the toxin from sunlight.,Producers contain no chemicals.,Energy pyramids remove all pollutants.,,A,Persistent compounds stored in tissues can increase in concentration through food chains.,,Biomagnification is greatest in organisms high in the food web.,105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-190,2,Undergraduate,Part II — Power Test,Science,Biology,BIO5 — Ecology and Populations,invasive species,SCI-APP,Analysis/Evaluation,Difficult,Premium,English,,An introduced predator has no natural enemies and rapidly reduces native prey populations. What is the most direct ecological concern?,Immediate formation of a new planet,Disruption of food-web balance,Elimination of all mutation,Conversion of consumers into producers,,B,Rapid predation can alter abundance and interactions throughout the food web.,,Invasive species can strongly disrupt established ecological relationships.,105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-191,2,Undergraduate,Part II — Power Test,Science,Biology,BIO5 — Ecology and Populations,carbon cycle,SCI-APP,Recognition/Recall,Easy,Premium,English,,Which process removes carbon dioxide from the atmosphere and stores carbon in organic molecules?,cellular respiration,combustion,photosynthesis,decomposition only,,C,Photosynthetic organisms fix atmospheric carbon dioxide into organic compounds.,,Photosynthesis is a major biological carbon sink.,80,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-192,2,Undergraduate,Part II — Power Test,Science,Biology,BIO5 — Ecology and Populations,population sampling,SCI-APP,Analysis/Evaluation,Difficult,Premium,English,,Why is random placement of quadrats important when estimating plant density?,It guarantees every plant is counted.,It eliminates natural variation.,It makes sample size irrelevant.,It reduces selection bias.,,D,Random placement prevents the observer from choosing unusually dense or sparse areas.,,Random sampling improves representativeness.,135,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-193,2,Undergraduate,Part II — Power Test,Science,Biology,BIO6 — Human Systems and Reproduction,circulation,SCI-APP,Recognition/Recall,Easy,Free,English,,Which chamber pumps oxygenated blood to the systemic circulation?,left ventricle,right atrium,right ventricle,left atrium,,A,The left ventricle pumps oxygenated blood through the aorta to the body.,,Trace blood flow through the four heart chambers.,80,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-194,2,Undergraduate,Part II — Power Test,Science,Biology,BIO6 — Human Systems and Reproduction,homeostasis,SCI-APP,Analysis/Evaluation,Difficult,Premium,English,,"When body temperature rises, sweating and skin vasodilation help restore normal temperature. This is an example of:",positive feedback,negative feedback,genetic drift,active immunity,,B,The response opposes the initial change and brings the variable back toward its set range.,,Negative feedback stabilizes internal conditions.,105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-195,2,Undergraduate,Part II — Power Test,Science,Biology,BIO6 — Human Systems and Reproduction,digestion,SCI-APP,Recognition/Recall,Easy,Premium,English,,Where does most absorption of digested nutrients occur?,stomach,large intestine only,small intestine,esophagus,,C,Villi and microvilli provide a large absorptive surface in the small intestine.,,Structure and surface area support nutrient absorption.,80,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-196,2,Undergraduate,Part II — Power Test,Science,Biology,BIO6 — Human Systems and Reproduction,endocrine control,SCI-APP,Single-step Application,Moderate,Premium,English,,"After a carbohydrate-rich meal, insulin helps lower blood glucose by promoting:",release of glucose from glycogen only,breakdown of all proteins,secretion of stomach acid,cellular uptake and storage of glucose,,D,Insulin stimulates cells to take up glucose and promotes glycogen synthesis.,,Insulin lowers blood glucose; glucagon raises it.,105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-197,2,Undergraduate,Part II — Power Test,Science,Biology,BIO7 — Scientific Investigation,experimental design,SCI-APP,Analysis/Evaluation,Moderate,Free,English,,A class tests whether fertilizer concentration affects plant height. Which variable should be kept constant?,plant species and light exposure,fertilizer concentration,plant height,the final conclusion,,A,Species and light are potential confounders and should be controlled.,,Control factors other than the independent variable.,80,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-198,2,Undergraduate,Part II — Power Test,Science,Biology,BIO7 — Scientific Investigation,correlation,SCI-APP,Analysis/Evaluation,Difficult,Premium,English,,A graph shows that cities with more parks tend to have lower average temperatures. Which conclusion is safest?,Parks are the only cause of temperature differences.,"More parks are associated with lower temperatures, but other factors may contribute.",Every new park lowers temperature by exactly 1°C.,Temperature causes all parks to form.,,B,The graph supports association but not a fully controlled causal claim.,,Correlation alone does not establish causation.,135,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-199,2,Undergraduate,Part II — Power Test,Science,Biology,BIO7 — Scientific Investigation,sample size,SCI-APP,Analysis/Evaluation,Difficult,Premium,English,,Why does increasing sample size often improve confidence in an estimated mean?,It guarantees zero measurement error.,It removes the need for random sampling.,It reduces the influence of unusual individual observations.,It changes every value to the same number.,,C,Larger samples usually give a more stable estimate of the population mean.,,"Sample size affects precision, not automatic correctness.",105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-200,2,Undergraduate,Part II — Power Test,Science,Biology,BIO7 — Scientific Investigation,peer review,SCI-APP,Analysis/Evaluation,Difficult,Premium,English,,What is a primary purpose of peer review in science?,To guarantee that findings are permanently correct,To replace data collection,To keep all results secret,"To evaluate methods, reasoning, and evidence before publication",,D,Peer reviewers scrutinize whether conclusions are supported and methods are appropriate.,,"Peer review is quality control, not proof of infallibility.",105,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-201,2,Undergraduate,Part II — Power Test,Science,Chemistry,"CHEM1 — Matter, Measurement, and Atomic Structure",atomic number,SCI-APP,Single-step Application,Moderate,Free,English,,An ion has 12 protons and 10 electrons. What is its charge?,2+,2−,1−,1+,,A,"There are two more protons than electrons, so the net charge is 2+.",charge = 12 − 10 = +2,Net charge equals proton count minus electron count.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-202,2,Undergraduate,Part II — Power Test,Science,Chemistry,"CHEM1 — Matter, Measurement, and Atomic Structure",isotope notation,SCI-APP,Single-step Application,Moderate,Free,English,,An isotope has 15 protons and 16 neutrons. What is its mass number?,15,31,16,1,,B,Mass number equals protons plus neutrons: 15+16=31.,15 + 16 = 31,Mass number counts protons and neutrons.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-203,2,Undergraduate,Part II — Power Test,Science,Chemistry,"CHEM1 — Matter, Measurement, and Atomic Structure",electron arrangement,SCI-APP,Recognition/Recall,Easy,Premium,English,,Which electron arrangement is most consistent with a neutral sodium atom?,"2,7,2","2,8,8","2,8,1","1,8,2",,C,"Sodium has atomic number 11, so its electrons arrange as 2,8,1 in a simple shell model.",,The total electrons in a neutral atom equal atomic number.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-204,2,Undergraduate,Part II — Power Test,Science,Chemistry,"CHEM1 — Matter, Measurement, and Atomic Structure",periodic trend,SCI-APP,Recognition/Recall,Easy,Premium,English,,"Which element generally has the highest electronegativity among C, N, O, and F?",C,N,O,F,,D,"Electronegativity generally increases across a period, making fluorine highest among these elements.",,"Across a period, attraction for bonding electrons generally increases.",110,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-205,2,Undergraduate,Part II — Power Test,Science,Chemistry,"CHEM1 — Matter, Measurement, and Atomic Structure",significant figures,SCI-APP,Recognition/Recall,Easy,Premium,English,,How many significant figures are in 0.00450?,3,2,4,5,,A,"Leading zeros are not significant; the digits 4, 5, and the trailing zero after the decimal are significant.",,Leading zeros are placeholders; trailing decimal zeros can be significant.,110,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-206,2,Undergraduate,Part II — Power Test,Science,Chemistry,"CHEM1 — Matter, Measurement, and Atomic Structure",density,SCI-APP,Single-step Application,Moderate,Premium,English,,A metal sample has mass 54 g and volume 20 cm³. What is its density?,0.37 g/cm³,2.7 g/cm³,34 g/cm³,74 g/cm³,,B,Density=mass/volume=54/20=2.7 g/cm³.,54 ÷ 20 = 2.7,Density is mass per unit volume.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-207,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM2 — Periodic Trends and Bonding,ionic radius,SCI-APP,Analysis/Evaluation,Difficult,Free,English,,"Compared with a neutral magnesium atom, Mg²⁺ is smaller mainly because it:",gains an electron shell,has fewer protons,loses its outer electrons and has less electron-electron repulsion,becomes a nonmetal,,C,Loss of the outer shell and reduced electron repulsion allow the remaining electrons to be held more closely.,,Cations are generally smaller than their neutral atoms.,145,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-208,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM2 — Periodic Trends and Bonding,bond polarity,SCI-APP,Recognition/Recall,Moderate,Premium,English,,Which bond is expected to be most polar?,H–H,C–C,Cl–Cl,H–F,,D,H–F has the largest electronegativity difference among the choices.,,Greater electronegativity difference generally means greater bond polarity.,110,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-209,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM2 — Periodic Trends and Bonding,intermolecular forces,SCI-APP,Analysis/Evaluation,Difficult,Premium,English,,Why does water have a higher boiling point than methane?,Water molecules form hydrogen bonds.,Methane is ionic.,Water has no intermolecular forces.,Methane contains metallic bonds.,,A,Hydrogen bonding between water molecules is much stronger than the dispersion forces between methane molecules.,,Boiling point reflects the strength of intermolecular attractions.,110,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-210,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM2 — Periodic Trends and Bonding,Lewis structure,SCI-APP,Recognition/Recall,Easy,Premium,English,,How many shared electron pairs are in a double covalent bond?,one,two,three,four,,B,A double bond consists of two shared electron pairs.,,"Single, double, and triple bonds contain one, two, and three shared pairs.",85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-211,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM2 — Periodic Trends and Bonding,molecular polarity,SCI-APP,Analysis/Evaluation,Difficult,Premium,English,,Carbon dioxide has polar C=O bonds but is nonpolar overall because:,the molecule contains no electrons,oxygen has no electronegativity,the molecule is linear and bond dipoles cancel,the molecule is ionic,,C,The equal bond dipoles point in opposite directions in a linear molecule and cancel.,,Molecular polarity depends on both bond polarity and geometry.,145,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-212,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM2 — Periodic Trends and Bonding,metallic bonding,SCI-APP,Analysis/Evaluation,Difficult,Premium,English,,Which property of metals is best explained by mobile delocalized electrons?,brittleness of ionic crystals,low density of gases,inability to reflect light,electrical conductivity,,D,Mobile electrons can move through the metal and carry charge.,,The electron-sea model explains conductivity and malleability.,110,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-213,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM3 — Compounds and Nomenclature,ionic formula,SCI-APP,Single-step Application,Moderate,Free,English,,"What is the formula for calcium nitrate, formed from Ca²⁺ and NO₃⁻?",Ca(NO3)2,CaNO3,Ca2NO3,Ca2(NO3),,A,Two nitrate ions are needed to balance the 2+ charge of calcium.,Ca²⁺ + 2(NO₃⁻) → Ca(NO₃)₂,Use parentheses when more than one polyatomic ion is needed.,110,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-214,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM3 — Compounds and Nomenclature,compound naming,SCI-APP,Multi-step Application,Moderate,Premium,English,,What is the correct name of Cu2O?,copper oxide,copper(I) oxide,copper(II) oxide,dicopper monoxide only,,B,"Oxide contributes 2− total charge, so the two copper atoms each have +1 oxidation state.",,Determine a transition metal's charge from the anion and formula.,110,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-215,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM3 — Compounds and Nomenclature,molecular naming,SCI-APP,Recognition/Recall,Easy,Premium,English,,What is the correct name of N2O5?,nitrogen oxide,nitrogen(V) oxide only,dinitrogen pentoxide,mononitrogen pentoxide,,C,Molecular prefixes indicate two nitrogen atoms and five oxygen atoms.,,Use Greek prefixes for binary molecular compounds.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-216,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM3 — Compounds and Nomenclature,formula interpretation,SCI-APP,Single-step Application,Moderate,Premium,English,,How many oxygen atoms are present in one formula unit of Al2(SO4)3?,3,4,7,12,,D,"There are three sulfate groups, each containing four oxygen atoms: 3×4=12.",3 × 4 = 12,A subscript outside parentheses multiplies every atom inside.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-217,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM4 — Reactions and Stoichiometry,balancing,SCI-APP,Single-step Application,Moderate,Free,English,,What coefficient belongs before H2O in the balanced equation C3H8 + O2 → CO2 + H2O?,4,2,3,5,,A,Balanced equation: C3H8 + 5O2 → 3CO2 + 4H2O.,,Balance C and H before O in hydrocarbon combustion.,110,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-218,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM4 — Reactions and Stoichiometry,reaction type,SCI-APP,Recognition/Recall,Easy,Premium,English,,2KClO3 → 2KCl + 3O2 is classified as:,synthesis,decomposition,single replacement,combustion,,B,One compound breaks into simpler substances.,,Decomposition starts with one reactant forming multiple products.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-219,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM4 — Reactions and Stoichiometry,molar mass,SCI-APP,Single-step Application,Moderate,Premium,English,,"What is the molar mass of H2O, using H=1 and O=16?",16 g/mol,17 g/mol,18 g/mol,20 g/mol,,C,2(1)+16=18 g/mol.,2×1+16=18,Add atomic masses according to subscripts.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-220,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM4 — Reactions and Stoichiometry,mass-to-moles,SCI-APP,Single-step Application,Moderate,Premium,English,,How many moles are in 36 g of H2O?,1 mol,18 mol,36 mol,2 mol,,D,Moles=mass/molar mass=36/18=2 mol.,36 g ÷ 18 g/mol = 2 mol,Convert mass to moles before using a reaction ratio.,110,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-221,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM4 — Reactions and Stoichiometry,stoichiometry,SCI-APP,Single-step Application,Moderate,Premium,English,,"For 2Al + 3Cl2 → 2AlCl3, how many moles of AlCl3 can form from 6 mol Cl2 with excess Al?",4 mol,2 mol,3 mol,6 mol,,A,The ratio is 2 mol AlCl3 per 3 mol Cl2; 6 mol Cl2 forms 4 mol AlCl3.,6 × 2/3 = 4 mol,Use coefficients as mole ratios.,110,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-222,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM4 — Reactions and Stoichiometry,limiting reactant,SCI-APP,Multi-step Application,Moderate,Premium,English,,"For 2H2 + O2 → 2H2O, a mixture contains 5 mol H2 and 3 mol O2. Which reactant is limiting?",O2,H2,H2O,neither,,B,"Three mol O2 would require 6 mol H2, but only 5 mol H2 is available.",,Compare available reactants with the required stoichiometric ratio.,110,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-223,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM4 — Reactions and Stoichiometry,percent yield,SCI-APP,Single-step Application,Moderate,Premium,English,,A reaction has theoretical yield 50 g but produces 40 g. What is the percent yield?,20%,40%,80%,125%,,C,Percent yield=(actual/theoretical)×100=(40/50)×100=80%.,40/50 × 100 = 80%,Actual yield is divided by theoretical yield.,110,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-224,2,Undergraduate,Part II — Power Test,Science,Chemistry,CHEM4 — Reactions and Stoichiometry,redox,SCI-APP,Analysis/Evaluation,Difficult,Premium,English,,"In the reaction Zn + Cu²⁺ → Zn²⁺ + Cu, which species is oxidized?",Cu²⁺,Zn²⁺,Cu,Zn,,D,"Zinc loses electrons to become Zn²⁺, so it is oxidized.",,Oxidation is loss of electrons; reduction is gain.,110,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-225,2,Undergraduate,Part II — Power Test,Science,Chemistry,"CHEM5 — Solutions, Acids, Bases, and Separation",molarity,SCI-APP,Single-step Application,Moderate,Free,English,,What is the molarity of a solution containing 0.50 mol solute in 2.0 L solution?,0.25 M,0.50 M,1.0 M,4.0 M,,A,M=mol/L=0.50/2.0=0.25 M.,0.50 ÷ 2.0 = 0.25 M,Molarity is moles of solute per liter of solution.,85,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-226,2,Undergraduate,Part II — Power Test,Science,Chemistry,"CHEM5 — Solutions, Acids, Bases, and Separation",dilution,SCI-APP,Single-step Application,Moderate,Premium,English,,What volume of 2.0 M solution is needed to prepare 100 mL of 0.50 M solution?,10 mL,25 mL,50 mL,75 mL,,B,M1V1=M2V2; V1=(0.50×100)/2.0=25 mL.,V1=0.50×100/2.0=25 mL,Use conservation of solute during dilution.,110,No calculator,False,Passed,Passed,Approved for Distribution
DOST-W2-227,2,Undergraduate,Part II — Power Test,Science,Chemistry,"CHEM5 — Solutions, Acids, Bases, and Separation",neutralization,SCI-APP,Recognition/Recall,Easy,Premium,English,,Which products normally form when a strong acid reacts completely with a strong base?,metal and hydrogen only,two acids,salt and water,carbon and oxygen,,C,Acid-base neutralization forms water and an ionic salt.,,Neutralization combines H⁺ and OH⁻ to form water.,85,No calculator,False,Passed,Passed,Approved for Distribution
